Meeting Dates,Rate Change Date,Main refinancing operations - fixed rate tenders,Change (%),Direction
1/13/99,,3,,
2/4/99,,3,0,No Change
3/4/99,,3,0,No Change
4/8/99,4/9/99,2.5,-0.5,Decrease
5/6/99,,2.5,0,No Change
6/3/99,,2.5,0,No Change
8/5/99,,2.5,0,No Change
9/9/99,,2.5,0,No Change
10/7/99,,2.5,0,No Change
11/4/99,11/5/99,3,0.5,Increase
12/3/99,,3,0,No Change
1/13/00,,3,0,No Change
2/3/00,2/4/00,3.25,0.25,Increase
3/16/00,3/17/00,3.5,0.25,Increase
4/6/00,4/28/00,3.75,0.25,Increase
5/4/00,,3.75,0,No Change
6/8/00,6/9/00,4.25,0.5,Increase
8/3/00,,4.25,0,No Change
9/7/00,,4.25,0,No Change
10/5/00,,4.25,0,No Change
11/2/00,,4.25,0,No Change
12/7/00,,4.25,0,No Change
1/11/01,,4.25,0,No Change
2/8/01,,4.25,0,No Change
3/8/01,,4.25,0,No Change
4/12/01,,4.25,0,No Change
5/10/01,,4.25,0,No Change
6/6/01,,4.25,0,No Change
8/2/01,,4.25,0,No Change
9/6/01,,4.25,0,No Change
10/4/01,,4.25,0,No Change
11/8/01,,4.25,0,No Change
12/6/01,,4.25,0,No Change
1/10/02,,4.25,0,No Change
2/7/02,,4.25,0,No Change
3/7/02,,4.25,0,No Change
4/4/02,,4.25,0,No Change
5/2/02,,4.25,0,No Change
6/6/02,,4.25,0,No Change
8/1/02,,4.25,0,No Change
9/5/02,,4.25,0,No Change
10/3/02,,4.25,0,No Change
11/7/02,,4.25,0,No Change
12/5/02,,4.25,0,No Change
1/9/03,,4.25,0,No Change
2/6/03,,4.25,0,No Change
3/6/03,,4.25,0,No Change
4/3/03,,4.25,0,No Change
5/8/03,,4.25,0,No Change
6/5/03,,4.25,0,No Change
8/7/03,,4.25,0,No Change
9/4/03,,4.25,0,No Change
10/2/03,,4.25,0,No Change
11/6/03,,4.25,0,No Change
12/4/03,,4.25,0,No Change
1/15/04,,4.25,0,No Change
3/4/04,,4.25,0,No Change
4/8/04,,4.25,0,No Change
5/6/04,,4.25,0,No Change
6/3/04,,4.25,0,No Change
8/5/04,,4.25,0,No Change
9/2/04,,4.25,0,No Change
10/7/04,,4.25,0,No Change
11/4/04,,4.25,0,No Change
12/2/04,,4.25,0,No Change
1/13/05,,4.25,0,No Change
3/3/05,,4.25,0,No Change
4/7/05,,4.25,0,No Change
5/5/05,,4.25,0,No Change
6/2/05,,4.25,0,No Change
8/4/05,,4.25,0,No Change
9/1/05,,4.25,0,No Change
10/6/05,,4.25,0,No Change
11/3/05,,4.25,0,No Change
12/1/05,,4.25,0,No Change
1/12/06,,4.25,0,No Change
3/2/06,,4.25,0,No Change
4/6/06,,4.25,0,No Change
5/4/06,,4.25,0,No Change
6/8/06,,4.25,0,No Change
8/3/06,,4.25,0,No Change
9/7/06,,4.25,0,No Change
10/5/06,,4.25,0,No Change
11/2/06,,4.25,0,No Change
12/7/06,,4.25,0,No Change
1/11/07,,4.25,0,No Change
3/8/07,,4.25,0,No Change
4/12/07,,4.25,0,No Change
5/10/07,,4.25,0,No Change
6/6/07,,4.25,0,No Change
8/2/07,,4.25,0,No Change
9/6/07,,4.25,0,No Change
10/4/07,,4.25,0,No Change
11/8/07,,4.25,0,No Change
12/13/07,,4.25,0,No Change
1/10/08,,4.25,0,No Change
3/7/08,,4.25,0,No Change
4/10/08,,4.25,0,No Change
5/8/08,,4.25,0,No Change
6/5/08,,4.25,0,No Change
7/3/08,,4.25,0,No Change
8/7/08,,4.25,0,No Change
10/9/08,10/15/08,3.75,-0.5,Decrease
10/30/08,11/12/08,3.25,-0.5,Decrease
12/4/08,12/10/08,2.5,-0.75,Decrease
1/15/09,1/21/09,2,-0.5,Decrease
2/5/09,,2,0,No Change
3/5/09,3/11/09,1.5,-0.5,Decrease
4/2/09,4/8/09,1.25,-0.25,Decrease
5/7/09,5/13/09,1,-0.25,Decrease
6/4/09,,1,0,No Change
7/2/09,,1,0,No Change
8/6/09,,1,0,No Change
9/3/09,,1,0,No Change
10/8/09,,1,0,No Change
11/5/09,,1,0,No Change
12/3/09,,1,0,No Change
1/14/10,,1,0,No Change
3/4/10,,1,0,No Change
4/8/10,,1,0,No Change
5/6/10,,1,0,No Change
6/3/10,,1,0,No Change
7/8/10,,1,0,No Change
9/2/10,,1,0,No Change
10/7/10,,1,0,No Change
11/4/10,,1,0,No Change
12/2/10,,1,0,No Change
1/13/11,,1,0,No Change
2/3/11,,1,0,No Change
3/3/11,,1,0,No Change
4/7/11,4/13/11,1.25,0.25,Increase
5/5/11,,1.25,0,No Change
6/9/11,,1.25,0,No Change
7/7/11,7/13/11,1.5,0.25,Increase
9/8/11,,1.5,0,No Change
10/6/11,,1.5,0,No Change
11/3/11,11/9/11,1.25,-0.25,Decrease
12/8/11,12/14/11,1,-0.25,Decrease
1/12/12,,1,0,No Change
2/2/12,,1,0,No Change
3/8/12,,1,0,No Change
4/4/12,,1,0,No Change
5/10/12,,1,0,No Change
6/6/12,,1,0,No Change
7/5/12,7/11/12,0.75,-0.25,Decrease
9/6/12,,0.75,0,No Change
10/4/12,,0.75,0,No Change
11/8/12,,0.75,0,No Change
12/20/12,,0.75,0,No Change
1/10/13,,0.75,0,No Change
2/7/13,,0.75,0,No Change
3/7/13,,0.75,0,No Change
4/4/13,,0.75,0,No Change
5/2/13,5/8/13,0.5,-0.25,Decrease
6/6/13,,0.5,0,No Change
7/4/13,,0.5,0,No Change
9/5/13,,0.5,0,No Change
10/3/13,,0.5,0,No Change
11/7/13,11/13/13,0.25,-0.25,Decrease
12/5/13,,0.25,0,No Change
1/9/14,,0.25,0,No Change
2/6/14,,0.25,0,No Change
3/6/14,,0.25,0,No Change
4/3/14,,0.25,0,No Change
5/8/14,,0.25,0,No Change
6/5/14,6/11/14,0.15,-0.1,Decrease
7/3/14,,0.15,0,No Change
9/4/14,9/10/14,0.05,-0.1,Decrease
10/2/14,,0.05,0,No Change
10/30/14,,0.05,0,No Change
12/4/14,,0.05,0,No Change
1/22/15,,0.05,0,No Change
3/5/15,,0.05,0,No Change
4/16/15,,0.05,0,No Change
6/3/15,,0.05,0,No Change
7/2/15,,0.05,0,No Change
9/3/15,,0.05,0,No Change
10/22/15,,0.05,0,No Change
12/3/15,12/9/15,0.05,0,No Change
1/21/16,,0.05,0,No Change
3/10/16,3/16/16,0,-0.05,Decrease
4/21/16,,0,0,No Change
6/2/16,,0,0,No Change
7/21/16,,0,0,No Change
9/8/16,,0,0,No Change
10/20/16,,0,0,No Change
12/8/16,,0,0,No Change
1/19/17,,0,0,No Change
